existingsiteidentified,proposedleasedfacility,forecastcapacity,district,school,projectnum,description,location,latitude,longitude,actualestcompl,fy,designstart,constrstart,totalestcost,previousappropriations,fundingreqd,neededtocomplete,source,inprev,cd,borough,csd,geom
No,Yes,60,31,3K CENTER @ AMBOY ROAD,DSF0000911939,3k capacity projects,,,,2019-09-20T00:00:00.000,2020,2019-09-18T00:00:00.000,2019-01-20T00:00:00.000,4.5,0.36,4.14,0,sca_cp_3k_schools,,,,,
No,Yes,105,31,3K CENTER @ ARTHUR KILL ROAD,DSF0000911938,3k capacity projects,,,,2019-09-20T00:00:00.000,2020,2019-09-18T00:00:00.000,2019-01-20T00:00:00.000,7,0.55,6.46,0,sca_cp_3k_schools,,,,,
No,Yes,240,31,3K CENTER @ BRICKTOWN WAY,DSF0000890617,3k capacity projects,,,,2019-08-20T00:00:00.000,2020,2019-08-18T00:00:00.000,2019-12-19T00:00:00.000,22.39,0.04,22.35,0,sca_cp_3k_schools,,,,,
No,Yes,345,31,3K CENTER @ HYLAN BOULEVARD,DSF0000911940,3k capacity projects,,,,2019-07-20T00:00:00.000,2020,2019-09-18T00:00:00.000,2019-07-19T00:00:00.000,34.7,2.65,32.05,0,sca_cp_3k_schools,,,,,
No,Yes,150,9,3K CENTER @ PLIMPTON AVENUE,DSF0000891035,3k capacity projects,,,,2019-08-20T00:00:00.000,2020,2019-11-18T00:00:00.000,2019-07-19T00:00:00.000,0.02,0.02,0,0,sca_cp_3k_schools,,,,,
No,Yes,105,12,3K CENTER @ WEST FARMS ROAD,DSF0000891031,3k capacity projects,,,,2019-08-20T00:00:00.000,2020,2019-11-18T00:00:00.000,2019-07-19T00:00:00.000,0.01,0.01,0,0,sca_cp_3k_schools,,,,,
,,824,11,PROJECT #1,DSF0000911831,capacity projects,,,,Jun-25,2025,Jun-20,Dec-21,127.55,0,118.55,9,sca_cp_cap_schools_FY2020-24,,,,,
,,476,22,PROJECT #1,DSF0000911867,capacity projects,,,,Mar-27,2027,May-23,Jun-24,78.33,0,69.8,8.53,sca_cp_cap_schools_FY2020-24,,,,,
,,1202,78Q,PROJECT #1,DSF0000911856,capacity projects,,,,Mar-26,2026,Nov-20,Mar-22,183.8,0,166.9,16.9,sca_cp_cap_schools_FY2020-24,,,,,
,,476,19,PROJECT #1,DSF0000911836,capacity projects,,,,Mar-27,2027,Mar-23,Jun-24,78.33,0,69.8,8.53,sca_cp_cap_schools_FY2020-24,,,,,
,,476,30,PROJECT #1,DSF0000911869,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,
,,476,21,PROJECT #1,DSF0000911840,capacity projects,,,,Mar-27,2027,Mar-23,Jun-24,78.33,0,69.8,8.53,sca_cp_cap_schools_FY2020-24,,,,,
,,824,25,PROJECT #1,DSF0000911866,capacity projects,,,,Mar-28,2028,Mar-23,Jun-24,134.58,0,119.85,14.73,sca_cp_cap_schools_FY2020-24,,,,,
,L,476,12,PROJECT #1,DSF0000798238,capacity projects,,,,Mar-24,2024,Jun-20,Sep-21,20.85,0.16,20.69,0,sca_cp_cap_schools_FY2020-24,Y,,,,
,,476,13,PROJECT #1,DSF0000843824,capacity projects,,,,Mar-25,2025,Mar-21,Jun-22,71.31,0.14,66.19,4.97,sca_cp_cap_schools_FY2020-24,Y,,,,
,L,476,2,PROJECT #1,DSF0000798172,capacity projects,,,,Mar-24,2024,Mar-20,Jun-21,21.84,1.02,20.83,0,sca_cp_cap_schools_FY2020-24,Y,,,,
,,640,15,PROJECT #1,DSF0000866091,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,99.43,0,99.43,0,sca_cp_cap_schools_FY2020-24,Y,,,,
,,824,20,PROJECT #1,DSF0000798187,capacity projects,,,,Jun-24,2024,Jan-20,Apr-21,137.71,10.3,127.41,0,sca_cp_cap_schools_FY2020-24,Y,,,,
,,476,9,PROJECT #1,DSF0000911815,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,
,L,824,28,PROJECT #1,DSF0000888931,capacity projects,,,,Aug-25,2026,Jan-21,Apr-22,42.15,0,38.25,3.9,sca_cp_cap_schools_FY2020-24,Y,,,,
,,572,8,PROJECT #1,DSF0000911814,capacity projects,,,,Mar-25,2025,Mar-21,Jun-22,95.19,0,88.49,6.7,sca_cp_cap_schools_FY2020-24,,,,,
,,824,24,PROJECT #1,DSF0000843831,capacity projects,,,,Sep-24,2025,Mar-20,Jun-21,127.56,0.04,123.93,3.6,sca_cp_cap_schools_FY2020-24,Y,,,,
,,572,7,PROJECT #1,DSF0000798173,capacity projects,,,,Jun-24,2024,Jun-20,Oct-21,92.38,0.11,92.26,0,sca_cp_cap_schools_FY2020-24,Y,,,,
No,Yes,506,25,PROJECT #1,DSF0000888955,capacity projects,,,,Jun-22,2022,Jun-18,Sep-19,31.49,0,2.39,,sca_cp_cap_schools_FY2015-19,Y,,,,
,,572,29,PROJECT #1,DSF0000911863,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,96.59,0,87.75,8.84,sca_cp_cap_schools_FY2020-24,,,,,
,,640,26,PROJECT #1,DSF0000911855,capacity projects,,,,Mar-27,2027,Sep-22,Dec-23,106.45,0,94.83,11.63,sca_cp_cap_schools_FY2020-24,,,,,
,,824,10,PROJECT #1,DSF0000843830,capacity projects,,,,Jun-27,2027,Jun-22,Dec-23,134.58,0.01,119.84,14.72,sca_cp_cap_schools_FY2020-24,Y,,,,
,,476,31,PROJECT #1,DSF0000911847,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,
,L,612,14,PROJECT #1,DSF0000687094,capacity projects,,,,Jun-27,2027,Jun-23,Sep-24,28.01,0.11,2.11,25.78,sca_cp_cap_schools_FY2020-24,Y,,,,
,,476,27,PROJECT #1,DSF0000911857,capacity projects,,,,Mar-25,2025,Jan-21,Apr-22,74.11,0,68.91,5.2,sca_cp_cap_schools_FY2020-24,,,,,
,L,476,31,PROJECT #2,DSF0000911850,capacity projects,,,,Mar-25,2025,Mar-21,Jun-22,21.08,0,19.58,1.5,sca_cp_cap_schools_FY2020-24,,,,,
,,476,29,PROJECT #2,DSF0000911864,capacity projects,,,,Jun-26,2026,Sep-22,Dec-23,76.92,0,68.55,8.37,sca_cp_cap_schools_FY2020-24,,,,,
,,640,2,PROJECT #2,DSF0000911799,capacity projects,,,,Mar-25,2025,Sep-20,Dec-21,92.85,0,86.32,6.53,sca_cp_cap_schools_FY2020-24,,,,,
,,572,9,PROJECT #2,DSF0000889664,capacity projects,,,,Apr-24,2024,Jul-19,Apr-21,90.97,0.02,90.95,0,sca_cp_cap_schools_FY2020-24,,,,,
,,640,24,PROJECT #2,DSF0000889651,capacity projects,,,,Apr-23,2023,Jul-19,Sep-20,96.62,0.02,96.6,0,sca_cp_cap_schools_FY2020-24,,,,,
,L,1202,78Q,PROJECT #2,DSF0000911858,capacity projects,,,,Jun-26,2026,Nov-21,Mar-23,186.87,0,169.58,17.29,sca_cp_cap_schools_FY2020-24,,,,,
,,824,25,PROJECT #2,DSF0000911834,capacity projects,,,,Mar-26,2026,Mar-21,Jun-22,127.55,0,115.85,11.7,sca_cp_cap_schools_FY2020-24,,,,,
,,640,22,PROJECT #2,DSF0000911846,capacity projects,,,,Jun-25,2025,Mar-21,Jun-22,99.43,0,92.43,7,sca_cp_cap_schools_FY2020-24,,,,,
,,476,21,PROJECT #2,DSF0000911841,capacity projects,,,,Mar-26,2026,Mar-21,Jun-22,71.3,0,64.8,6.5,sca_cp_cap_schools_FY2020-24,,,,,
,L,824,26,PROJECT #2,DSF0000911853,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,129.26,0,117.3,11.96,sca_cp_cap_schools_FY2020-24,,,,,
,L,824,11,PROJECT #2,DSF0000911832,capacity projects,,,,Jun-26,2026,Jun-21,Dec-22,42.15,0,38.25,3.9,sca_cp_cap_schools_FY2020-24,,,,,
,L,640,15,PROJECT #2,DSF0000890667,capacity projects,,,,Sep-25,2026,Jun-21,Sep-22,29.87,0.01,27.21,2.64,sca_cp_cap_schools_FY2020-24,,,,,
,L,640,28,PROJECT #2,DSF0000911860,capacity projects,,,,Mar-27,2027,Sep-22,Dec-23,28.1,0,25,3.1,sca_cp_cap_schools_FY2020-24,,,,,
,L,640,27,PROJECT #2,DSF0000798206,capacity projects,,,,Sep-24,2025,Jun-20,Sep-21,28.1,0.12,27.19,0.79,sca_cp_cap_schools_FY2020-24,Y,,,,
,,379,14,PROJECT #2,DSF0000798240,capacity projects,,,,Sep-24,2025,Nov-20,Feb-22,57.25,0,55.65,1.6,sca_cp_cap_schools_FY2020-24,Y,,,,
,L,572,10,PROJECT #2,DSF0000798174,capacity projects,,,,Sep-25,2026,Jun-21,Sep-22,20.92,0.14,19,1.77,sca_cp_cap_schools_FY2020-24,Y,,,,
,L,824,20,PROJECT #2,DSF0000798188,capacity projects,,,,Jun-26,2026,Jan-22,Apr-23,49.29,0.21,44.59,4.49,sca_cp_cap_schools_FY2020-24,Y,,,,
,L,640,30,PROJECT #2,DSF0000798211,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,28.1,0.03,28.07,0,sca_cp_cap_schools_FY2020-24,Y,,,,
,,476,21,PROJECT #3,DSF0000911842,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,
,,476,31,PROJECT #3,DSF0000911848,capacity projects,,,,Mar-27,2027,Mar-23,Jun-24,76.92,0,68.55,8.37,sca_cp_cap_schools_FY2020-24,,,,,
,,640,27,PROJECT #3,DSF0000889273,capacity projects,,,,Mar-25,2025,Apr-21,Jun-22,99.43,0.09,92.37,6.97,sca_cp_cap_schools_FY2020-24,,,,,
,,476,25,PROJECT #3,DSF0000911835,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,
,,476,11,PROJECT #3,DSF0000889274,capacity projects,,,,Jun-23,2023,Jun-19,Sep-20,63.28,5.06,58.22,0,sca_cp_cap_schools_FY2020-24,,,,,
,,640,20,PROJECT #3,DSF0000843829,capacity projects,,,,Sep-25,2026,Jun-21,Sep-22,102.25,0.12,92.83,9.3,sca_cp_cap_schools_FY2020-24,Y,,,,
,,476,26,PROJECT #3,DSF0000889663,capacity projects,,,,Jun-23,2023,Jul-19,Oct-20,63.28,0.06,63.22,0,sca_cp_cap_schools_FY2020-24,,,,,
,,1479,78Q,PROJECT #3,DSF0000911861,capacity projects,,,,Jun-28,2028,Nov-22,Mar-24,197.85,0,176.15,21.7,sca_cp_cap_schools_FY2020-24,,,,,
,,640,28,PROJECT #3,DSF0000911862,capacity projects,,,,Jun-25,2025,Mar-21,Jun-22,99.43,0,92.43,7,sca_cp_cap_schools_FY2020-24,,,,,
,,640,10,PROJECT #3,DSF0000867118,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,99.43,0.01,99.43,0,sca_cp_cap_schools_FY2020-24,Y,,,,
No,No,656,13,PROJECT #3,DSF0000843661,capacity projects,,,,Jun-22,2022,Jun-18,Sep-19,50.63,0,4.83,,sca_cp_cap_schools_FY2015-19,Y,,,,
,,1000,30,PROJECT #3,DSF0000798212,capacity projects,,,,Jun-28,2028,Jun-23,Sep-24,155.7,0.07,13.24,142.39,sca_cp_cap_schools_FY2020-24,Y,,,,
,,476,31,PROJECT #4,DSF0000889060,capacity projects,,,,Mar-24,2024,Apr-20,Jul-21,71.71,0.07,71.63,0,sca_cp_cap_schools_FY2020-24,,,,,
,,476,30,PROJECT #4,DSF0000889670,capacity projects,,,,Apr-25,2025,Jun-21,Sep-22,74.11,0,67.61,6.5,sca_cp_cap_schools_FY2020-24,,,,,
,,572,28,PROJECT #4,DSF0000911859,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,96.59,0,87.75,8.84,sca_cp_cap_schools_FY2020-24,,,,,
,,476,25,PROJECT #4,DSF0000911839,capacity projects,,,,Sep-26,2027,Sep-22,Dec-23,75.52,0,67.3,8.22,sca_cp_cap_schools_FY2020-24,,,,,
,,824,10,PROJECT #4,DSF0000911830,capacity projects,,,,Jun-27,2027,Jun-22,Dec-23,134.58,0,119.85,14.73,sca_cp_cap_schools_FY2020-24,,,,,
,,1202,78Q,PROJECT #4,DSF0000889275,capacity projects,,,,Sep-25,2026,May-20,Jan-22,179.08,38.12,128.64,12.32,sca_cp_cap_schools_FY2020-24,,,,,
,L,640,20,PROJECT #4,DSF0000798191,capacity projects,,,,Jun-24,2024,Mar-20,Jun-21,28.11,0.11,27.99,0,sca_cp_cap_schools_FY2020-24,Y,,,,
,L,476,21,PROJECT #4,DSF0000911844,capacity projects,,,,Mar-26,2026,Mar-23,Jun-24,29.51,0,26.25,3.26,sca_cp_cap_schools_FY2020-24,,,,,
,L,640,25,PROJECT #5,DSF0000911843,capacity projects,,,,Jun-25,2025,Mar-21,Jun-22,28.1,0,26.1,2,sca_cp_cap_schools_FY2020-24,,,,,
,,476,20,PROJECT #5,DSF0000798190,capacity projects,,,,Jun-25,2025,Jun-21,Sep-22,74.11,0.02,67.6,6.49,sca_cp_cap_schools_FY2020-24,Y,,,,
,,640,21,PROJECT #5,DSF0000911868,capacity projects,,,,Jun-27,2027,Mar-23,Jun-24,106.45,0,94.83,11.63,sca_cp_cap_schools_FY2020-24,,,,,
,,476,31,PROJECT #5,DSF0000911852,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,74.11,0,67.35,6.76,sca_cp_cap_schools_FY2020-24,,,,,
,L,824,20,PROJECT #6,DSF0000845622,capacity projects,,,,Jun-25,2025,Jan-21,Apr-22,49.18,0.02,45.65,3.5,sca_cp_cap_schools_FY2020-24,Y,,,,
,,692,31,PROJECT #6,DSF0000911854,capacity projects,,,,Jun-27,2027,Sep-22,Dec-23,106.45,0,94.83,11.63,sca_cp_cap_schools_FY2020-24,,,,,
No,No,420,15,PROJECT #6,DSF0000866306,capacity projects,,,,Jun-22,2022,Jun-18,Sep-19,60.99,0,4.59,,sca_cp_cap_schools_FY2015-19,Y,,,,
,,640,25,PROJECT #6,DSF0000911845,capacity projects,,,,Apr-26,2026,Jan-22,Apr-23,100.83,0,91.6,9.23,sca_cp_cap_schools_FY2020-24,,,,,
,,476,31,PROJECT #7,DSF0000798213,capacity projects,,,,Jun-25,2025,Apr-21,Jul-22,50.25,0.17,45.94,4.14,sca_cp_cap_schools_FY2020-24,Y,,,,
,L,476,20,PROJECT #7,DSF0000798567,capacity projects,,,,Mar-26,2026,Mar-22,Jun-23,20.97,0.29,18.99,1.69,sca_cp_cap_schools_FY2020-24,Y,,,,
,,572,25,PROJECT #7,DSF0000911849,capacity projects,,,,Sep-26,2027,Sep-22,Dec-23,92.38,0,82.3,10.08,sca_cp_cap_schools_FY2020-24,,,,,
,,824,20,PROJECT #8,DSF0000911837,capacity projects,,,,Jun-25,2025,Jun-20,Dec-21,130.36,0,121.16,9.2,sca_cp_cap_schools_FY2020-24,,,,,
,L,824,20,PROJECT #9,DSF0000911838,capacity projects,,,,Jun-26,2026,Jun-21,Dec-22,49.18,0,44.63,4.55,sca_cp_cap_schools_FY2020-24,,,,,
